mot,nom,count,occ_mot,occ_nom,p_nom_si_mot,p_mot_si_nom,pmi
frais,Million,304,37259,11828,0.00815910249872514,0.025701724721001015,2.795013871218653
prix,Albert,304,56952,59044,0.0053378283466779045,0.005148702662421245,-0.13672799414365924
chenal,Clament,303,1782,7567,0.17003367003367004,0.04004228888595216,7.820692851689901
prix,Turquet,302,56952,1592,0.005302711054923444,0.18969849246231155,5.066627452397452
travaux publics,Fernand,301,50480,32167,0.005962757527733756,0.009357415985326576,0.89920783508169
rivière,Alype,301,4363,3947,0.06898922759569104,0.07626045097542437,7.458280334021225
chenal,Constant,301,1782,15424,0.16891133557800225,0.019515041493775934,6.783754938538945
prix,Waldeck,300,56952,3070,0.005267593763168985,0.09771986970684039,4.109643083854362
compagnie,Rendu,299,41266,23037,0.007245674405079242,0.01297912054520988,1.661976679334283
rivière,Sourigues,298,4363,1872,0.06830162732065093,0.15918803418803418,8.520005262033385
chenal,Chapuis,296,1782,7562,0.16610549943883277,0.0391430838402539,7.78792582965092
travaux publics,Léon,295,50480,61293,0.005843898573692551,0.004812947644918669,-0.059981625200479796
prix,Simonnet,294,56952,1474,0.005162241887905605,0.1994572591587517,5.138998869357317
chenal,Carpot,294,1782,3430,0.16498316498316498,0.08571428571428572,8.918704081785394
chenal,Alphonse,293,1782,5605,0.1644219977553311,0.052274754683318464,8.205282794738663
chenal,Cloarec,293,1782,3079,0.1644219977553311,0.09516076648262423,9.069535300386635
prix,Vacher,291,56952,4439,0.005109565950273915,0.06555530524892994,3.5337036831992132
compagnie,Faisant,291,41266,15762,0.007051810206950031,0.018462124095926912,2.170352595371627
chenal,David,291,1782,21338,0.1632996632996633,0.013637641765863717,6.266762601948936
chenal,Edmond,290,1782,16194,0.1627384960718294,0.01790786711127578,6.659761925836131
chenal,Cuttoli,290,1782,2996,0.1627384960718294,0.09679572763684913,9.094111779565388
chenal,Cornudet,290,1782,11517,0.1627384960718294,0.025180168446644093,7.151456342456034
prix,Révillon,290,56952,2616,0.005092007304396685,0.11085626911314984,4.291609598132874
compagnie,Sens,290,41266,30617,0.00702757718218388,0.009471862037430185,1.20750402117645
chenal,Chopinet,290,1782,2711,0.1627384960718294,0.10697159719660641,9.238324290186428
rivière,Vernhes,289,4363,2030,0.0662388264955306,0.14236453201970442,8.358863131582767
chenal,Chavet,289,1782,2613,0.16217732884399552,0.11060084194412553,9.286458871189863
chenal,Pierre,289,1782,64077,0.16217732884399552,0.00451019866722849,4.6704312966975605
rivière,Rathier,289,4363,2114,0.0662388264955306,0.13670766319772942,8.300367482272623
prix,Trouard-Riolle,288,56952,1065,0.0050568900126422255,0.2704225352112676,5.578134619945135
chenal,Combrouze,288,1782,3523,0.16161616161616163,0.08174850979279023,8.850360839956553
chenal,Cosnier,287,1782,3592,0.1610549943883277,0.07989977728285078,8.817359889943745
travaux publics,Faisant,287,50480,15762,0.0056854199683042785,0.018208349194264686,1.8596258704821154
rivière,Charles,287,4363,86793,0.06578042631217053,0.003306718283732559,2.930817316677014
prix,Maurice,286,56952,60025,0.005021772720887765,0.004764681382757184,-0.24855720761072927
travaux publics,André,286,50480,37455,0.005665610142630745,0.0076358296622613805,0.6058825649028738
chenal,Bussat,286,1782,3016,0.16049382716049382,0.09482758620689655,9.06447522151893
prix,Pradon,285,56952,1675,0.005004214075010535,0.1701492537313433,4.909720062435629
rivière,Saint-Romme,285,4363,1932,0.06532202612881045,0.14751552795031056,8.410140191370958
chenal,Fernand,284,1782,32167,0.15937149270482603,0.008828924052600492,5.63947794617466
prix,Remoiville,284,56952,1656,0.004986655429133305,0.17149758454106281,4.92110749562138
chenal,Cruppi,284,1782,5332,0.15937149270482603,0.05326331582895724,8.232310652424914
compagnie,Louis,284,41266,106741,0.006882179033586972,0.00266064586241463,-0.6243675489633295
rivière,Vernière,283,4363,2097,0.06486362594545038,0.13495469718645683,8.281748557889916
rivière,Trystram,282,4363,1557,0.06463442585377034,0.1811175337186898,8.706199584474383
chenal,Chaulet,282,1782,2386,0.15824915824915825,0.1181894383906119,9.38219762271277
rivière,Sandrique,281,4363,2902,0.0644052257620903,0.09682977257064093,7.802795977308809
chenal,Dalimier,280,1782,3392,0.15712682379349047,0.08254716981132075,8.864387160390972
travaux publics,Albert,280,50480,59044,0.005546751188589541,0.0047422261364406205,-0.08133789459708564
ligne,Sens,279,24938,30617,0.011187745609110594,0.009112584511872489,1.8783240773928904
chenal,Daniel,279,1782,8043,0.15656565656565657,0.034688549048862365,7.613627905134675
prix,Thiessé,279,56952,1476,0.004898862199747156,0.18902439024390244,5.061491639384814
rivière,Gustave,279,4363,18476,0.06394682557873023,0.015100671140939598,5.121957942134777
chenal,Cazauvieilh,278,1782,5625,0.15600448933782268,0.04942222222222222,8.12432828974095
rivière,Riotteau,278,4363,5950,0.06371762548705019,0.04672268907563025,6.751468580795466
prix,Saint-Romme,277,56952,1932,0.0048637449079926955,0.14337474120082816,4.662710120829438
prix,Thomas,277,56952,10824,0.0048637449079926955,0.02559127864005913,2.176643375688674
économie,Esprit,277,10667,30501,0.025967938501921816,0.009081669453460542,3.098612595197476
chenal,Chassaing,277,1782,7092,0.15544332210998876,0.03905809362662155,7.784789943159704
frais,Jules,275,37259,116598,0.007380767062991492,0.002358531021115285,-0.6508908223999843
rivière,Récipon,275,4363,1794,0.06303002521201008,0.15328874024526198,8.465525094647388
exploitation,Del,275,23160,29267,0.011873920552677029,0.009396248334301431,2.0292591449648083
